BO;Attribute;ARM Element;Source;Rules;Reference path
;PropertyDefinition to ExternalClass (as propertyType);NO MAPPING PROVIDED;;;
;PropertyDefinition to ExternalOwlClass (as propertyType);NO MAPPING PROVIDED;;;
;PropertyDefinition to Identifier (as versionId);NO MAPPING PROVIDED;;;
;PropertyDefinition to IdentifierSet (as versionId);NO MAPPING PROVIDED;;;
;PropertyDefinition to IdentifierString (as versionId);NO MAPPING PROVIDED;;;
PropertyDefinitionAssignment;;NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to ExternalUnit (as allowedUnits);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to Unit (as allowedUnits);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to ExternalPropertyDefinition (as assignedPropertyDefinition);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to PropertyDefinition (as assignedPropertyDefinition);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to PropertyDefinitionString (as assignedPropertyDefinition);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to Activity (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to ActivityAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to ActivityMethod (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to ActivityMethodAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to ActivityMethodRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to ActivityRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to Address (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to AddressAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to AlternativeSolution (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to Approval (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to ApprovalAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to BreakdownElementRealization (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to BreakdownElementRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to BreakdownElementVersionRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to BreakdownElementView (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to BreakdownElementViewRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to BreakdownRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to BreakdownVersion (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to BreakdownVersionAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to BreakdownVersionRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to CertificationAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to Condition (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to ConditionAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to ConditionRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to Contract (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to ContractAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to ContractRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to DateAndPersonAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to DateTimeAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to DocumentAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to DocumentDefinition (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to DocumentDefinitionRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to DocumentRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to DocumentVersionRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to EffectivityAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to EventAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to File (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to FileRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to FrozenAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to InZone (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to IndividualPartRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to IndividualPartVersionRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to IndividualPartView (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to IndividualPartViewRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to InformationUsageRightAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to MaterialPropertyAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to ModelPropertyAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to Occurrence (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to OccurrenceRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to OrganizationOrPersonInOrganizationAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to OrganizationRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to Part (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to PartRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to PartVersion (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to PartVersionRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to PartView (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to PartViewRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to Person (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to PersonInOrganization (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to ProcessOperationDefinition (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to ProcessOperationOccurrence (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to ProcessOperationResourceAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to ProcessPlan (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to ProductConcept (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to ProductConfiguration (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to ProductConfigurationRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to Project (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to ProjectAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to ProjectRelationship (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to PropertyDefinitionAssignment (as assignedTo);NO MAPPING PROVIDED;;;
;PropertyDefinitionAssignment to PropertyDefinitionRelationship (as assignedTo);NO MAPPING PROVIDED;;;
