"Status","URL","Redirected to","Link Text","On Page","Time stamp"
"404 not found","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","file:///Users/klt/Desktop/ap210e4_2015-11-03_on_SMRLv6/iso10303_210/data/modules/assembly_component_placement_requirements/sys/e_exp.htm","3 Nov  17:39:56"
"404 not found","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","file:///Users/klt/Desktop/ap210e4_2015-11-03_on_SMRLv6/iso10303_210/data/modules/assembly_module_with_cable_component_2d/sys/e_exp.htm","3 Nov  17:39:56"
"404 not found","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","file:///Users/klt/Desktop/ap210e4_2015-11-03_on_SMRLv6/iso10303_210/data/modules/assembly_module_with_cable_component_3d/sys/e_exp.htm","3 Nov  17:39:56"
"404 not found","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","file:///Users/klt/Desktop/ap210e4_2015-11-03_on_SMRLv6/iso10303_210/data/modules/assembly_module_with_macro_component/sys/e_exp.htm","3 Nov  17:39:56"
"404 not found","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","file:///Users/klt/Desktop/ap210e4_2015-11-03_on_SMRLv6/iso10303_210/data/modules/assembly_module_with_subassembly/sys/e_exp.htm","3 Nov  17:39:56"
"404 not found","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","file:///Users/klt/Desktop/ap210e4_2015-11-03_on_SMRLv6/iso10303_210/data/modules/assembly_module_with_cable_component/sys/e_exp.htm","3 Nov  17:39:56"
"404 not found","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","file:///Users/klt/Desktop/ap210e4_2015-11-03_on_SMRLv6/iso10303_210/data/modules/assembly_module_with_packaged_connector_component/sys/e_exp.htm","3 Nov  17:39:56"
"404 not found","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","file:///Users/klt/Desktop/ap210e4_2015-11-03_on_SMRLv6/iso10303_210/data/modules/footprint_definition/sys/e_exp.htm","3 Nov  17:39:56"
"404 not found","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","file:///Users/klt/Desktop/ap210e4_2015-11-03_on_SMRLv6/iso10303_210/data/modules/assembly_physical_requirement_allocation/sys/e_exp.htm","3 Nov  17:39:56"
"404 not found","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","file:///Users/klt/Desktop/ap210e4_2015-11-03_on_SMRLv6/iso10303_210/data/modules/assembly_technology/sys/e_exp.htm","3 Nov  17:39:56"
"404 not found","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","","http://standards.iso.org/iso/10303/smrl/v6/tech/smrlv6.zip","file:///Users/klt/Desktop/ap210e4_2015-11-03_on_SMRLv6/iso10303_210/data/modules/bare_die/sys/e_exp.htm","3 Nov  17:39:56"
