BO;Attribute;ARM Element;Source;Rules;Reference path
;RequirementSource to DocumentVersion (as source);PATH;;;"Requirement_source
Requirement_source.source ->
requirement_source_item 
requirement_source_item = Product_version
Product_version =>
Document_version"
;RequirementSource to IndividualPart (as source);PATH;;;"Requirement_source
Requirement_source.source ->
requirement_source_item 
requirement_source_item = Product 
Product =>
Product_as_individual"
;RequirementSource to IndividualPartVersion (as source);PATH;;;"Requirement_source
Requirement_source.source ->
requirement_source_item 
requirement_source_item = Product_version 
Product_version =>
Product_as_individual_version"
;RequirementSource to IndividualPartView (as source);PATH;;;"Requirement_source
Requirement_source.source ->
requirement_source_item 
requirement_source_item = Product_view_definition
Product_view_definition =>
Product_as_individual_view"
;RequirementSource to Organization (as source);NO MAPPING;;;
;RequirementSource to Part (as source);PATH;;;"Requirement_source
Requirement_source.source ->
requirement_source_item 
requirement_source_item = /MAPPING_OF(Part)/"
;RequirementSource to PartVersion (as source);PATH;;;"Requirement_source
Requirement_source.source ->
requirement_source_item 
requirement_source_item = /MAPPING_OF(PartVersion)/"
;RequirementSource to PartView (as source);PATH;;;"Requirement_source
Requirement_source.source ->
requirement_source_item 
requirement_source_item = /MAPPING_OF(PartView)/"
;RequirementSource to PersonInOrganization (as source);NO MAPPING;;;
;RequirementSource to Project (as source);NO MAPPING;;;
;RequirementSource to Requirement (as source);PATH;;;"Requirement_assignment
Requirement_assignment.assigned_to ->
requirement_assignment_item 
requirement_assignment_item = Product 
Product =>
Requirement"
;RequirementSource to RequirementVersion (as source);PATH;;;"Requirement_assignment
Requirement_assignment.assigned_to ->
requirement_assignment_item 
requirement_assignment_item = Product_version
Product_version =>
Requirement_version"
;RequirementSource to RequirementView (as source);PATH;;;"Requirement_assignment
Requirement_assignment.assigned_to ->
requirement_assignment_item 
requirement_assignment_item = Product_view_definition 
Product_view_definition =>
Requirement_view_definition"
;RequirementSource to RequirementView (as sourcedRequirement);PATH;;;"Requirement_source
Requirement_source.sourced_requirement -> 
requirement_source_item
requirement_source_item = Requirement_view_definition
Requirement_view_definition"
RequirementTracingRelationship;;Tracing_relationship;442;;"Tracing_relationship <=
Requirement_view_definition_relationship <=
View_definition_relationship"
;RequirementTracingRelationship to ClassString (as relationType);View_definition_relationship.relation_type;442;;"Tracing_relationship <=
Requirement_view_definition_relationship <=
View_definition_relationship
View_definition_relationship.relation_type"
RequirementVersion;;Requirement_version;442;;"Requirement_version <= 
Product_version"
;RequirementVersion to Classification (as classifiedAs);PATH;;;"Requirement_version <= 
Product_version
/classifiedAs_AS_Classification(Product_version)/"
;RequirementVersion to CharacterString (as description);Product_version.description;442;;"Requirement_version <= 
Product_version
Product_version.description"
;RequirementVersion to Descriptor (as description);PATH;;;"Requirement_version <= 
Product_version
/description_AS_Descriptor(Product_version)/"
;RequirementVersion to DescriptorSet (as description);PATH;;;"Requirement_version <= 
Product_version
/description_AS_DescriptorSet(Product_version)/"
;RequirementVersion to LocalizedString (as description);PATH;;;"Requirement_version <= 
Product_version
/description_AS_LocalizedString(Product_version)/"
;RequirementVersion to TranslatedStringSet (as description);PATH;;;"Requirement_version
/description_AS_TranslatedStringSet(Product_version)/"
;RequirementVersion to Identifier (as id);PATH;;;"Requirement_version <= 
Product_version
/id_AS_Identifier(Product_version)/"
;RequirementVersion to IdentifierSet (as id);PATH;;;"Requirement_version <= 
Product_version
/id_AS_IdentifierSet(Product_version)/"
;RequirementVersion to IdentifierString (as id);Product_version.id;442;;"Requirement_version <= 
Product_version
Product_version.id"
;RequirementVersion to ExternalItem (as sameAs);PATH;;;"Requirement_version <= 
Product_version
/sameAs_AS_ExternalItem(Product_version)/"
;RequirementVersion to ExternalOwlObject (as sameAs);PATH;;;"Requirement_version <= 
Product_version
/sameAs_AS_ExternalOWLObject(Product_version)/"
;RequirementVersion to Proxy (as sameAs);PATH;;;"Requirement_version <= 
Product_version
/sameAs_AS_Proxy(Product_version)/"
;RequirementVersion to ProxyString (as sameAs);PATH;;;"Requirement_version <= 
Product_version
/sameAs_AS_ProxyString(Product_version)/"
;RequirementVersion to RequirementView (as views);PATH;;;"Requirement_version <-
Requirement_view_definition.defined_version
Requirement_view_definition"
RequirementVersionRelationship;;Requirement_version_relationship;442;;"Requirement_version_relationship <=
Product_version_relationship"
;RequirementVersionRelationship to Classification (as classifiedAs);PATH;;;"Requirement_version_relationship <=
Product_version_relationship
/classifiedAs_AS_Classification(Product_version_relationship)/"
;RequirementVersionRelationship to CharacterString (as description);Product_version_relationship.description;442;;"Requirement_version_relationship <=
Product_version_relationship
Product_version_relationship.description"
;RequirementVersionRelationship to Descriptor (as description);PATH;;;"Requirement_version_relationship <=
Product_version_relationship
/description_AS_Descriptor(Product_version_relationship)/"
;RequirementVersionRelationship to DescriptorSet (as description);PATH;;;"Requirement_version_relationship <=
Product_version_relationship
/description_AS_DescriptorSet(Product_version_relationship)/"
;RequirementVersionRelationship to LocalizedString (as description);PATH;;;"Requirement_version_relationship <=
Product_version_relationship
/description_AS_LocalizedString(Product_version_relationship)/"
;RequirementVersionRelationship to TranslatedStringSet (as description);PATH;;;"Requirement_version_relationship <=
Product_version_relationship
/description_AS_TranslatedStringSet(Product_version_relationship)/"
;RequirementVersionRelationship to Identifier (as id);PATH;;;"Requirement_version_relationship <=
Product_version_relationship
/id_AS_Identifier(Product_version_relationship)/"
