BO;Attribute;ARM Element;Source;Rules;Reference path;Remarks;Issues aginast ARM
;Condition to SpecificationAssignment (as parameters);PATH;;;"Condition <-
Condition_parameter.condition
Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;Condition to SpecificationCategoryAssignment (as parameters);PATH;;;"Condition <-
Condition_parameter.condition
Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;Condition to SpecificationConditionAssignment (as parameters);PATH;;;"Condition <-
Condition_parameter.condition
Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;Condition to SpecificationInclusionAssignment (as parameters);PATH;;;"Condition <-
Condition_parameter.condition
Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;Condition to TimeIntervalAssignment (as parameters);PATH;;;"Condition <-
Condition_parameter.condition
Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;Condition to WorkOrderAssignment (as parameters);PATH;;;"Condition <-
Condition_parameter.condition
Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;Condition to WorkRequest (as parameters);PATH;;;"Condition <-
Condition_parameter.condition
Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;Condition to WorkRequestAssignment (as parameters);PATH;;;"Condition <-
Condition_parameter.condition
Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;Condition to ExternalItem (as sameAs);PATH;;;"Condition
/sameAs_AS_ExternalItem(Condition)/";;
;Condition to ExternalOwlObject (as sameAs);PATH;;;"Condition
/sameAs_AS_ExternalOWLObject(Condition)/";;
;Condition to Proxy (as sameAs);PATH;;;"Condition
/sameAs_AS_Proxy(Condition)/";;
;Condition to ProxyString (as sameAs);PATH;;;"Condition
/sameAs_AS_ProxyString(Condition)/";;
ConditionAssignment;;Condition_assignment;442;;;;
;ConditionAssignment to Condition (as assignedCondition);Condition_assignment.assigned_condition;;;;;
;ConditionAssignment to Activity (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to ActivityAssignment (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to ActivityMethod (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to ActivityMethodAssignment (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
;ConditionAssignment to ActivityMethodRelationship (as assignedTo);PATH;;;/Condition_assignment((^TO_ASSERTION)/;;
