"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"";"DocumentVersion to LocalizedString (as description)";"";"";"";""
"";"DocumentVersion to TranslatedStringSet (as description)";"";"";"";""
"";"DocumentVersion to Identifier (as id)";"";"";"";""
"";"DocumentVersion to IdentifierSet (as id)";"";"";"";""
"";"DocumentVersion to IdentifierString (as id)";"";"";"";""
"";"DocumentVersion to ExternalItem (as sameAs)";"";"";"";""
"";"DocumentVersion to ExternalOwlObject (as sameAs)";"";"";"";""
"";"DocumentVersion to Proxy (as sameAs)";"";"";"";""
"";"DocumentVersion to ProxyString (as sameAs)";"";"";"";""
"";"DocumentVersion to DocumentDefinition (as views)";"";"";"";""
"DocumentVersionRelationship";"";"";"";"";""
"";"DocumentVersionRelationship to Classification (as classifiedAs)";"";"";"";""
"";"DocumentVersionRelationship to CharacterString (as description)";"";"";"";""
"";"DocumentVersionRelationship to Descriptor (as description)";"";"";"";""
"";"DocumentVersionRelationship to DescriptorSet (as description)";"";"";"";""
"";"DocumentVersionRelationship to LocalizedString (as description)";"";"";"";""
"";"DocumentVersionRelationship to TranslatedStringSet (as description)";"";"";"";""
"";"DocumentVersionRelationship to Identifier (as id)";"";"";"";""
"";"DocumentVersionRelationship to IdentifierSet (as id)";"";"";"";""
"";"DocumentVersionRelationship to IdentifierString (as id)";"";"";"";""
"";"DocumentVersionRelationship to DocumentVersion (as related)";"";"";"";""
"";"DocumentVersionRelationship to DocumentVersion (as relating)";"";"";"";""
"";"DocumentVersionRelationship to Class (as relationType)";"";"";"";""
"";"DocumentVersionRelationship to ClassString (as relationType)";"";"";"";""
"";"DocumentVersionRelationship to ExternalClass (as relationType)";"";"";"";""
"";"DocumentVersionRelationship to ExternalOwlClass (as relationType)";"";"";"";""
